RC Zone Přerov;;;;;
;;;;;
4/7/25;;;;;
Pozice;Popis;Cena;Poznámky;;
;Podtlakové odvodnění střechy;1 830 000 Kč;nebylo ve VV;;
3;Hala PR02;75 885 186 Kč;;;
;Pilotové založení;8 961 759 Kč;;;
;Monolitické dobetonávky;218 592 Kč;;;
;Střešní plášť;39 915 844 Kč;;;
;Opláštění;17 876 405 Kč;;;
;Průmyslové vrata;318 700 Kč;;;
;Silnoproudá elektroinstalace (SO 7000);5 376 519 Kč;;;
;Silnoproudá elektroinstalace (SO 7200);707 368 Kč;;;
;Podtlakové odvodnění střechy;2 510 000 Kč;nebylo ve VV;;
4;Hala PR03;55 522 073 Kč;;;
;Pilotové založení;6 454 652 Kč;;;
;Monolitické dobetonávky;88 803 Kč;;;
;Střešní plášť;25 384 450 Kč;;;
;Opláštění;14 631 559 Kč;;;
;Průmyslové vrata;318 700 Kč;;;
;Silnoproudá elektroinstalace (SO 7000);4 009 617 Kč;;;
;Silnoproudá elektroinstalace (SO 7200);616 577 Kč;;;
;Podtlakové odvodnění střechy;1 330 000 Kč;nebylo ve VV;;
;Inflační příplatek 5% pro PR03;2 687 715 Kč;předpokládaný nárůst ceny v době realizace haly PR03 dle HMG;;
5;SHZ;10 258 992 Kč;;;
;Pilotové založení;389 006 Kč;;;
;Monolitické dobetonávky;1 083 117 Kč;;;
;Střešní plášť;683 218 Kč;;;
;Opláštění;589 160 Kč;;;
;Silnoproudá elektroinstalace (SO 7000);319 680 Kč;;;
;Silnoproudá elektroinstalace (SO 7200);290 811 Kč;;;
;SHZ nádrž;6 904 000 Kč;;;
;;;;;
6;Prefa konstrukce;88 315 097 Kč;;;
;Hala PR01;30 600 014 Kč;;;
;Hala PR01;34 190 057 Kč;;;
;Hala PR01;23 525 026 Kč;;;
;;;;;
;;;;;
;;;;;
;STAVBA CELKEM bez DPH;570 257 425 Kč;;;
